hotel_id,facility_swimming,facility_gym,airport_shuttle,facility_wifi,facility_parking,trust_rating_value,d37_hotel_category_name
565650,NO,NO,NO,NO,NO,,2-star
565651,NO,NO,NO,NO,NO,,2-star
565652,NO,NO,NO,NO,NO,,2-star
565653,NO,NO,NO,NO,NO,,2-star
565654,NO,NO,NO,NO,NO,,2-star
565655,NO,NO,NO,NO,NO,,4-star
565656,NO,NO,NO,NO,NO,,4-star
565657,NO,NO,NO,NO,NO,,4-star
565658,NO,NO,NO,NO,NO,,3-star
565659,NO,NO,NO,NO,NO,,4-star
565660,NO,NO,NO,NO,NO,,4-star
565661,NO,NO,NO,NO,NO,,4-star
565662,NO,NO,NO,NO,NO,,4-star
565663,NO,NO,NO,NO,NO,,4-star
565664,NO,NO,NO,NO,NO,,3-star
565665,NO,NO,NO,NO,NO,,4-star
565666,NO,NO,NO,NO,NO,,4-star
565667,NO,NO,NO,NO,NO,,3-star
565668,NO,NO,NO,NO,NO,,3-star
565669,NO,NO,NO,NO,NO,,2-star
565670,NO,NO,NO,NO,NO,,4-star
565671,NO,NO,NO,NO,NO,,4-star
565672,NO,NO,NO,NO,NO,,4-star
565673,NO,NO,NO,NO,NO,,4-star
565674,NO,NO,NO,NO,NO,,3-star
565675,NO,NO,NO,NO,NO,,3-star
565676,NO,NO,NO,NO,NO,,3-star
565677,NO,NO,NO,NO,NO,,3-star
565678,NO,NO,NO,NO,NO,,3-star
565679,NO,NO,NO,NO,NO,,3-star
565680,NO,NO,NO,NO,NO,,4-star
565681,NO,NO,NO,NO,NO,,4-star
565682,NO,NO,NO,NO,NO,,4-star
565683,NO,NO,NO,NO,NO,,4-star
565684,NO,NO,NO,NO,NO,,3-star
565685,NO,NO,NO,NO,NO,,3-star
565686,NO,NO,NO,NO,NO,,3-star
565687,NO,NO,NO,NO,NO,,2-star
565688,NO,NO,NO,NO,NO,,4-star
565689,NO,NO,NO,NO,NO,,2-star
565690,NO,NO,NO,NO,NO,,4-star
565691,NO,NO,NO,NO,NO,,4-star
565692,NO,NO,NO,NO,NO,,4-star
565693,NO,NO,NO,NO,NO,,2-star
565694,NO,NO,NO,NO,NO,,2-star
565695,NO,NO,NO,NO,NO,,3-star
565696,NO,NO,NO,NO,NO,,4-star
565697,NO,NO,NO,NO,NO,,2-star
565698,NO,NO,NO,NO,NO,,3-star
565699,NO,NO,NO,NO,NO,,4-star
565700,NO,NO,NO,NO,NO,,3-star
565701,NO,NO,NO,NO,NO,,4-star
565702,NO,NO,NO,NO,NO,,4-star
565703,NO,NO,NO,NO,NO,,4-star
565704,NO,NO,NO,NO,NO,,3-star
565705,NO,NO,NO,NO,NO,,4-star
565706,NO,NO,NO,NO,NO,,4-star
565707,NO,NO,NO,NO,NO,,4-star
565708,NO,NO,NO,NO,NO,,4-star
565709,NO,NO,NO,NO,NO,,4-star
565710,NO,NO,NO,NO,NO,,3-star
565711,NO,NO,NO,NO,NO,,3-star
565712,NO,NO,NO,NO,NO,,3-star
565713,NO,NO,NO,NO,NO,,2-star
565714,NO,NO,NO,NO,NO,,4-star
565715,NO,NO,NO,NO,NO,,3-star
565716,NO,NO,NO,NO,NO,,4-star
565717,NO,NO,NO,NO,NO,,4-star
565718,NO,NO,NO,NO,NO,,4-star
565719,NO,NO,NO,NO,NO,,4-star
565720,NO,NO,NO,NO,NO,,3-star
565721,NO,NO,NO,NO,NO,,3-star
565722,NO,NO,NO,NO,NO,,3-star
565723,NO,NO,NO,NO,NO,,4-star
565724,NO,NO,NO,NO,NO,,
565725,NO,NO,NO,NO,NO,,2-star
565726,NO,NO,NO,NO,NO,,4-star
565727,NO,NO,NO,NO,NO,,4-star
565728,NO,NO,NO,NO,NO,,4-star
565729,NO,NO,NO,NO,NO,,4-star
565730,NO,NO,NO,NO,NO,,3-star
565731,NO,NO,NO,NO,NO,,3-star
565732,NO,NO,NO,NO,NO,,4-star
565733,NO,NO,NO,NO,NO,,3-star
565734,NO,NO,NO,NO,NO,,4-star
565735,NO,NO,NO,NO,NO,,3-star
565736,NO,NO,NO,NO,NO,,4-star
565737,NO,NO,NO,NO,NO,,4-star
565738,NO,NO,NO,NO,NO,,3-star
565739,NO,NO,NO,NO,NO,,4-star
565740,NO,NO,NO,NO,NO,,2-star
565741,NO,NO,NO,NO,NO,,4-star
565742,NO,NO,NO,NO,NO,,2-star
565743,NO,NO,NO,NO,NO,,2-star
565744,NO,NO,NO,NO,NO,,3-star
565745,NO,NO,NO,NO,NO,,4-star
565746,NO,NO,NO,NO,NO,,2-star
565747,NO,NO,NO,NO,NO,,4-star
565748,NO,NO,NO,NO,NO,,4-star
565749,NO,NO,NO,NO,NO,,3-star
565750,NO,NO,NO,NO,NO,,4-star
565751,NO,NO,NO,NO,NO,,3-star
565752,NO,NO,NO,NO,NO,,4-star
565753,NO,NO,NO,NO,NO,,4-star
565754,NO,NO,NO,NO,NO,,4-star
565755,NO,NO,NO,NO,NO,,4-star
565756,NO,NO,NO,NO,NO,,3-star
565757,NO,NO,NO,NO,NO,,4-star
565758,NO,NO,NO,NO,NO,,4-star
565759,NO,NO,NO,NO,NO,,4-star
565760,NO,NO,NO,NO,NO,,4-star
565761,NO,NO,NO,NO,NO,,4-star
565762,NO,NO,NO,NO,NO,,4-star
565763,NO,NO,NO,NO,NO,,3-star
565764,NO,NO,NO,NO,NO,,4-star
565765,NO,NO,NO,NO,NO,,4-star
565766,NO,NO,NO,NO,NO,,4-star
565767,NO,NO,NO,NO,NO,,4-star
565768,NO,NO,NO,NO,NO,,4-star
565769,NO,NO,NO,NO,NO,,4-star
565770,NO,NO,NO,NO,NO,,3-star
565771,NO,NO,NO,NO,NO,,4-star
565772,NO,NO,NO,NO,NO,,4-star
565773,NO,NO,NO,NO,NO,,3-star
565774,NO,NO,NO,NO,NO,,3-star
574438,NO,NO,NO,NO,NO,,
574439,NO,NO,NO,NO,NO,,3-star
574440,NO,NO,NO,NO,NO,,4-star
574441,NO,NO,NO,NO,NO,,4-star
574442,NO,NO,NO,NO,NO,,2-star
574443,NO,NO,NO,NO,NO,,4-star
574444,NO,NO,NO,NO,NO,,3-star
574445,NO,NO,NO,NO,NO,,2-star
574446,NO,NO,NO,NO,NO,,4-star
574447,NO,NO,NO,NO,NO,,3-star
574448,NO,NO,NO,NO,NO,,3-star
574449,NO,NO,NO,NO,NO,,3-star
574450,NO,NO,NO,NO,NO,,3-star
574451,NO,NO,NO,NO,NO,,3-star
574452,NO,NO,NO,NO,NO,,3-star
574453,NO,NO,NO,NO,NO,,2-star
574454,NO,NO,NO,NO,NO,,2-star
574455,NO,NO,NO,NO,NO,,2-star
574456,NO,NO,NO,NO,NO,,4-star
574457,NO,NO,NO,NO,NO,,3-star
574458,NO,NO,NO,NO,NO,,3-star
574459,NO,NO,NO,NO,NO,,3-star
574460,NO,NO,NO,NO,NO,,4-star
574461,NO,NO,NO,NO,NO,,2-star
574462,NO,NO,NO,NO,NO,,3-star
574463,NO,NO,NO,NO,NO,,2-star
574464,NO,NO,NO,NO,NO,,
574465,NO,NO,NO,NO,NO,,3-star
574466,NO,NO,NO,NO,NO,,3-star
574467,NO,NO,NO,NO,NO,,3-star
574468,NO,NO,NO,NO,NO,,3-star
574469,NO,NO,NO,NO,NO,,3-star
574470,NO,NO,NO,NO,NO,,3-star
574471,NO,NO,NO,NO,NO,,3-star
574472,NO,NO,NO,NO,NO,,3-star
574473,NO,NO,NO,NO,NO,,2-star
574474,NO,NO,NO,NO,NO,,1-star
574475,NO,NO,NO,NO,NO,,2-star
574476,NO,NO,NO,NO,NO,,2-star
574477,NO,NO,NO,NO,NO,,3-star
574478,NO,NO,NO,NO,NO,,3-star
574479,NO,NO,NO,NO,NO,,1-star
574480,NO,NO,NO,NO,NO,,4-star
574481,NO,NO,NO,NO,NO,,3-star
574482,NO,NO,NO,NO,NO,,4-star
574483,NO,NO,NO,NO,NO,,2-star
574484,NO,NO,NO,NO,NO,,3-star
574485,NO,NO,NO,NO,NO,,3-star
574486,NO,NO,NO,NO,NO,,3-star
574487,NO,NO,NO,NO,NO,,4-star
574488,NO,NO,NO,NO,NO,,3-star
574489,NO,NO,NO,NO,NO,,4-star
574490,NO,NO,NO,NO,NO,,3-star
574491,NO,NO,NO,NO,NO,,3-star
574492,NO,NO,NO,NO,NO,,2-star
574493,NO,NO,NO,NO,NO,,
574494,NO,NO,NO,NO,NO,,3-star
574495,NO,NO,NO,NO,NO,,3-star
574496,NO,NO,NO,NO,NO,,3-star
574497,NO,NO,NO,NO,NO,,3-star
574498,NO,NO,NO,NO,NO,,3-star
574499,NO,NO,NO,NO,NO,,3-star
574500,NO,NO,NO,NO,NO,,3-star
574501,NO,NO,NO,NO,NO,,4-star
574502,NO,NO,NO,NO,NO,,3-star
574503,NO,NO,NO,NO,NO,,3-star
574504,NO,NO,NO,NO,NO,,4-star
574505,NO,NO,NO,NO,NO,,
574506,NO,NO,NO,NO,NO,,
574507,NO,NO,NO,NO,NO,,4-star
574508,NO,NO,NO,NO,NO,,3-star
574509,NO,NO,NO,NO,NO,,2-star
574510,NO,NO,NO,NO,NO,,5-star
574511,NO,NO,NO,NO,NO,,3-star
574512,NO,NO,NO,NO,NO,,2-star
574513,NO,NO,NO,NO,NO,,3-star
574514,NO,NO,NO,NO,NO,,3-star
574515,NO,NO,NO,NO,NO,,2-star
574516,NO,NO,NO,NO,NO,,3-star
574517,NO,NO,NO,NO,NO,,3-star
574518,NO,NO,NO,NO,NO,,3-star
574519,NO,NO,NO,NO,NO,,2-star
574520,NO,NO,NO,NO,NO,,4-star
574521,NO,NO,NO,NO,NO,,
574522,NO,NO,NO,NO,NO,,4-star
574523,NO,NO,NO,NO,NO,,4-star
574524,NO,NO,NO,NO,NO,,3-star
574525,NO,NO,NO,NO,NO,,2-star
574526,NO,NO,NO,NO,NO,,3-star
574527,NO,NO,NO,NO,NO,,3-star
574528,NO,NO,NO,NO,NO,,4-star
574529,NO,NO,NO,NO,NO,,4-star
574530,NO,NO,NO,NO,NO,,
574531,NO,NO,NO,NO,NO,,3-star
574532,NO,NO,NO,NO,NO,,4-star
574533,NO,NO,NO,NO,NO,,1-star
574534,NO,NO,NO,NO,NO,,4-star
574535,NO,NO,NO,NO,NO,,
574536,NO,NO,NO,NO,NO,,2-star
574537,NO,NO,NO,NO,NO,,3-star
574538,NO,NO,NO,NO,NO,,3-star
574539,NO,NO,NO,NO,NO,,2-star
574540,NO,NO,NO,NO,NO,,4-star
574541,NO,NO,NO,NO,NO,,2-star
574542,NO,NO,NO,NO,NO,,
574543,NO,NO,NO,NO,NO,,4-star
574544,NO,NO,NO,NO,NO,,2-star
574545,NO,NO,NO,NO,NO,,3-star
574546,NO,NO,NO,NO,NO,,
574547,NO,NO,NO,NO,NO,,3-star
574548,NO,NO,NO,NO,NO,,
574549,NO,NO,NO,NO,NO,,1-star
574550,NO,NO,NO,NO,NO,,3-star
574551,NO,NO,NO,NO,NO,,2-star
574552,NO,NO,NO,NO,NO,,4-star
574553,NO,NO,NO,NO,NO,,3-star
574554,NO,NO,NO,NO,NO,,3-star
574555,NO,NO,NO,NO,NO,,3-star
574556,NO,NO,NO,NO,NO,,2-star
574557,NO,NO,NO,NO,NO,,4-star
574558,NO,NO,NO,NO,NO,,4-star
574559,NO,NO,NO,NO,NO,,
574560,NO,NO,NO,NO,NO,,4-star
574561,NO,NO,NO,NO,NO,,5-star
574562,NO,NO,NO,NO,NO,,
574563,NO,NO,NO,NO,NO,,3-star
574564,NO,NO,NO,NO,NO,,3-star
574565,NO,NO,NO,NO,NO,,2-star
574566,NO,NO,NO,NO,NO,,4-star
574567,NO,NO,NO,NO,NO,,4-star
574568,NO,NO,NO,NO,NO,,4-star
574569,NO,NO,NO,NO,NO,,3-star
574570,NO,NO,NO,NO,NO,,
574571,NO,NO,NO,NO,NO,,3-star
574572,NO,NO,NO,NO,NO,,3-star
574573,NO,NO,NO,NO,NO,,4-star
574574,NO,NO,NO,NO,NO,,
574575,NO,NO,NO,NO,NO,,3-star
574576,NO,NO,NO,NO,NO,,3-star
574577,NO,NO,NO,NO,NO,,3-star
574578,NO,NO,NO,NO,NO,,
574579,NO,NO,NO,NO,NO,,3-star
574580,NO,NO,NO,NO,NO,,
574581,NO,NO,NO,NO,NO,,3-star
574582,NO,NO,NO,NO,NO,,4-star
574583,NO,NO,NO,NO,NO,,4-star
574584,NO,NO,NO,NO,NO,,
574585,NO,NO,NO,NO,NO,,4-star
574586,NO,NO,NO,NO,NO,,
574587,NO,NO,NO,NO,NO,,
574588,NO,NO,NO,NO,NO,,
574589,NO,NO,NO,NO,NO,,
574590,NO,NO,NO,NO,NO,,4-star
574591,NO,NO,NO,NO,NO,,4-star
574592,NO,NO,NO,NO,NO,,4-star
574593,NO,NO,NO,NO,NO,,4-star
574594,NO,NO,NO,NO,NO,,
574595,NO,NO,NO,NO,NO,,
574596,NO,NO,NO,NO,NO,,4-star
574597,NO,NO,NO,NO,NO,,4-star
574598,NO,NO,NO,NO,NO,,3-star
574599,NO,NO,NO,NO,NO,,3-star
574600,NO,NO,NO,NO,NO,,3-star
574601,NO,NO,NO,NO,NO,,3-star
574602,NO,NO,NO,NO,NO,,
574603,NO,NO,NO,NO,NO,,4-star
574604,NO,NO,NO,NO,NO,,3-star
574605,NO,NO,NO,NO,NO,,4-star
574606,NO,NO,NO,NO,NO,,
574607,NO,NO,NO,NO,NO,,
574608,NO,NO,NO,NO,NO,,
574609,NO,NO,NO,NO,NO,,4-star
574610,NO,NO,NO,NO,NO,,4-star
574611,NO,NO,NO,NO,NO,,3-star
574612,NO,NO,NO,NO,NO,,
574613,NO,NO,NO,NO,NO,,3-star
574614,NO,NO,NO,NO,NO,,
574615,NO,NO,NO,NO,NO,,
574616,NO,NO,NO,NO,NO,,3-star
574617,NO,NO,NO,NO,NO,,1-star
574618,NO,NO,NO,NO,NO,,2-star
574619,NO,NO,NO,NO,NO,,2-star
574620,NO,NO,NO,NO,NO,,3-star
574621,NO,NO,NO,NO,NO,,3-star
574622,NO,NO,NO,NO,NO,,3-star
574623,NO,NO,NO,NO,NO,,3-star
574624,NO,NO,NO,NO,NO,,3-star
574625,NO,NO,NO,NO,NO,,3-star
574626,NO,NO,NO,NO,NO,,4-star
574627,NO,NO,NO,NO,NO,,3-star
574628,NO,NO,NO,NO,NO,,4-star
574629,NO,NO,NO,NO,NO,,2-star
574630,NO,NO,NO,NO,NO,,3-star
574631,NO,NO,NO,NO,NO,,2-star
574632,NO,NO,NO,NO,NO,,3-star
574633,NO,NO,NO,NO,NO,,2-star
574634,NO,NO,NO,NO,NO,,2-star
574635,NO,NO,NO,NO,NO,,3-star
574636,NO,NO,NO,NO,NO,,
574637,NO,NO,NO,NO,NO,,3-star
574638,NO,NO,NO,NO,NO,,3-star
574639,NO,NO,NO,NO,NO,,3-star
574640,NO,NO,NO,NO,NO,,3-star
574641,NO,NO,NO,NO,NO,,2-star
574642,NO,NO,NO,NO,NO,,3-star
574643,NO,NO,NO,NO,NO,,2-star
574644,NO,NO,NO,NO,NO,,2-star
574645,NO,NO,NO,NO,NO,,2-star
574646,NO,NO,NO,NO,NO,,4-star
574647,NO,NO,NO,NO,NO,,3-star
574648,NO,NO,NO,NO,NO,,
574649,NO,NO,NO,NO,NO,,3-star
574650,NO,NO,NO,NO,NO,,4-star
574651,NO,NO,NO,NO,NO,,3-star
574652,NO,NO,NO,NO,NO,,3-star
574653,NO,NO,NO,NO,NO,,4-star
574654,NO,NO,NO,NO,NO,,4-star
574655,NO,NO,NO,NO,NO,,3-star
574656,NO,NO,NO,NO,NO,,3-star
574657,NO,NO,NO,NO,NO,,2-star
574658,NO,NO,NO,NO,NO,,3-star
574659,NO,NO,NO,NO,NO,,2-star
574660,NO,NO,NO,NO,NO,,3-star
574661,NO,NO,NO,NO,NO,,3-star
574662,NO,NO,NO,NO,NO,,2-star
574663,NO,NO,NO,NO,NO,,2-star
574664,NO,NO,NO,NO,NO,,2-star
574665,NO,NO,NO,NO,NO,,2-star
574666,NO,NO,NO,NO,NO,,4-star
574667,NO,NO,NO,NO,NO,,4-star
574668,NO,NO,NO,NO,NO,,
574669,NO,NO,NO,NO,NO,,2-star
574670,NO,NO,NO,NO,NO,,4-star
574671,NO,NO,NO,NO,NO,,4-star
574672,NO,NO,NO,NO,NO,,
574673,NO,NO,NO,NO,NO,,3-star
574674,NO,NO,NO,NO,NO,,4-star
574675,NO,NO,NO,NO,NO,,
574676,NO,NO,NO,NO,NO,,4-star
574677,NO,NO,NO,NO,NO,,3-star
574678,NO,NO,NO,NO,NO,,4-star
574679,NO,NO,NO,NO,NO,,
574680,NO,NO,NO,NO,NO,,4-star
574681,NO,NO,NO,NO,NO,,4-star
574682,NO,NO,NO,NO,NO,,
574683,NO,NO,NO,NO,NO,,4-star
574684,NO,NO,NO,NO,NO,,4-star
574685,NO,NO,NO,NO,NO,,
574686,NO,NO,NO,NO,NO,,3-star
574687,NO,NO,NO,NO,NO,,
574688,NO,NO,NO,NO,NO,,4-star
574689,NO,NO,NO,NO,NO,,1-star
574690,NO,NO,NO,NO,NO,,3-star
574691,NO,NO,NO,NO,NO,,
574692,NO,NO,NO,NO,NO,,4-star
574693,NO,NO,NO,NO,NO,,3-star
574694,NO,NO,NO,NO,NO,,4-star
574695,NO,NO,NO,NO,NO,,4-star
574696,NO,NO,NO,NO,NO,,3-star
574697,NO,NO,NO,NO,NO,,4-star
574698,NO,NO,NO,NO,NO,,4-star
574699,NO,NO,NO,NO,NO,,4-star
574700,NO,NO,NO,NO,NO,,
574701,NO,NO,NO,NO,NO,,
574702,NO,NO,NO,NO,NO,,
574703,NO,NO,NO,NO,NO,,
574704,NO,NO,NO,NO,NO,,4-star
574705,NO,NO,NO,NO,NO,,3-star
574706,NO,NO,NO,NO,NO,,4-star
574707,NO,NO,NO,NO,NO,,4-star
574708,NO,NO,NO,NO,NO,,
574709,NO,NO,NO,NO,NO,,
574710,NO,NO,NO,NO,NO,,3-star
574711,NO,NO,NO,NO,NO,,3-star
574712,NO,NO,NO,NO,NO,,3-star
574713,NO,NO,NO,NO,NO,,3-star
574714,NO,NO,NO,NO,NO,,3-star
574715,NO,NO,NO,NO,NO,,3-star
574716,NO,NO,NO,NO,NO,,
574717,NO,NO,NO,NO,NO,,2-star
574718,NO,NO,NO,NO,NO,,2-star
574719,NO,NO,NO,NO,NO,,
574720,NO,NO,NO,NO,NO,,4-star
574721,NO,NO,NO,NO,NO,,4-star
574722,NO,NO,NO,NO,NO,,4-star
574723,NO,NO,NO,NO,NO,,3-star
574724,NO,NO,NO,NO,NO,,
574725,NO,NO,NO,NO,NO,,
574726,NO,NO,NO,NO,NO,,4-star
574727,NO,NO,NO,NO,NO,,3-star
574728,NO,NO,NO,NO,NO,,3-star
574729,NO,NO,NO,NO,NO,,4-star
574730,NO,NO,NO,NO,NO,,
574731,NO,NO,NO,NO,NO,,3-star
574732,NO,NO,NO,NO,NO,,3-star
574733,NO,NO,NO,NO,NO,,3-star
574734,NO,NO,NO,NO,NO,,3-star
574735,NO,NO,NO,NO,NO,,3-star
574736,NO,NO,NO,NO,NO,,3-star
574737,NO,NO,NO,NO,NO,,3-star
574738,NO,NO,NO,NO,NO,,4-star
574739,NO,NO,NO,NO,NO,,1-star
574740,NO,NO,NO,NO,NO,,4-star
574741,NO,NO,NO,NO,NO,,2-star
574742,NO,NO,NO,NO,NO,,3-star
574743,NO,NO,NO,NO,NO,,3-star
574744,NO,NO,NO,NO,NO,,3-star
574745,NO,NO,NO,NO,NO,,3-star
574746,NO,NO,NO,NO,NO,,4-star
574747,NO,NO,NO,NO,NO,,4-star
574748,NO,NO,NO,NO,NO,,1-star
574749,NO,NO,NO,NO,NO,,3-star
574750,NO,NO,NO,NO,NO,,2-star
574751,NO,NO,NO,NO,NO,,3-star
574752,NO,NO,NO,NO,NO,,5-star
574753,NO,NO,NO,NO,NO,,4-star
574754,NO,NO,NO,NO,NO,,4-star
574755,NO,NO,NO,NO,NO,,1-star
574756,NO,NO,NO,NO,NO,,4-star
574757,NO,NO,NO,NO,NO,,2-star
574758,NO,NO,NO,NO,NO,,4-star
574759,NO,NO,NO,NO,NO,,
574760,NO,NO,NO,NO,NO,,3-star
574761,NO,NO,NO,NO,NO,,3-star
574762,NO,NO,NO,NO,NO,,3-star
574763,NO,NO,NO,NO,NO,,
574764,NO,NO,NO,NO,NO,,
574765,NO,NO,NO,NO,NO,,4-star
574766,NO,NO,NO,NO,NO,,3-star
574767,NO,NO,NO,NO,NO,,3-star
574768,NO,NO,NO,NO,NO,,4-star
574769,NO,NO,NO,NO,NO,,
574770,NO,NO,NO,NO,NO,,4-star
574771,NO,NO,NO,NO,NO,,4-star
574772,NO,NO,NO,NO,NO,,3-star
574773,NO,NO,NO,NO,NO,,
574774,NO,NO,NO,NO,NO,,4-star
574775,NO,NO,NO,NO,NO,,1-star
574776,NO,NO,NO,NO,NO,,3-star
574777,NO,NO,NO,NO,NO,,2-star
574778,NO,NO,NO,NO,NO,,
